octahedron
octahedron
octahedron
octahedron
octahedron
octahedron
octahedron
octahedron
octahedron
octahedron
octahedron
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
triangular prism
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
pentagonal pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
capped square pyramid
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
doubly crossed triangular prism
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
side deleted pentagonal pyramid
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
flap octahedron
